Hash,Message,Hashes of Parents,Is a merge commit?,List of modified files
014a277a97759bbc0e6ec8fba588bc6e6de65a86,A few fixes to initial point_thickness implementation,['c0994ed0a53f06a555ea8d42903c2038fb54db2a'],False,"['constants.py', 'displayer.py', 'mobject.py']"
ac930952f151acf284f6e01e98e8f7256f29f9f4,"Beginning transform KA article, many small fixes to the mobject refactor",['d294d0f951f01b307805d18679509c4c9d4b7301'],False,"['animation.py', 'meta_animations.py', 'simple_animations.py', 'transform.py', 'extract_scene.py', 'mobject.py', 'complex_multiplication_article.py', 'pythagorean_proof.py', 'scene.py', 'arithmetic.py', 'characters.py', 'combinatorics.py', 'complex_numbers.py', 'geometry.py', 'graph_theory.py', 'number_line.py', 'transform_article.py']"
2322018875b218cc156f50d30d865a86d4a68a13,quick rgb-should-be-numpy-array bug fix,['c7389e008d3dc79f61e8270ff18758210b7e6a9e'],False,['mobject.py']
7ae5a0eccb13713b3439d9c0a0b79bcfc96b05be,"Slightly faster sort_points method, and bug fix in fade",['7f45044bafb27c94ae1b3f900014b3fbdc612e5f'],False,['mobject.py']
f21f6619a5150d193d85ed31ef60ed5b986661ca,Fix to Stars Mobject,['7ae5a0eccb13713b3439d9c0a0b79bcfc96b05be'],False,"['geometry.py', 'three_dimensions.py']"
68160140233b8f7ebf00aa2894ea57984c504a90,Bug fix to bug fix on Mobject.fade method,['8f8eeea870c2f780cc93950a6de6bd6a168fcfb4'],False,['mobject.py']
4f57551344e2655e53c9dcf72ee7d17333605f62,Bug in Arrow buffer,['68160140233b8f7ebf00aa2894ea57984c504a90'],False,['geometry.py']
5964d5206ac15fc0544325728e232b69aa007e4d,Fixed ShowCreation,['84054286824d0ca17219f7d3e11a5f256f098559'],False,['simple_animations.py']
9e54a5a6802d12994b007434b98c9f82d7dfd085,"Fixed PiCreature mouth, but more work remains",['c0009064d6ee0183f2d36fd15d7442b6efd10f54'],False,['characters.py']
69be4328ce0a90a25758a7d158b8bc4ee973ce29,Small bug in how displayer had been refactored,['c16abfd6c80268e2656a95d566afb522aa6659ba'],False,['displayer.py']
ff5075ce7d3db6381fb0e7e44f90af4b8ac47746,Couple scene bug fixes,['e45e20b5b0fc03cf60c2985d59a5b2883c714af1'],False,['scene.py']
810bcb98133aa1a62efc52c75cc1d285b241293e,Small fixes while putting together Hilbert video,['64ac1426b3f00e85d26001b227542b53543090bd'],False,"['section1.py', 'section2.py', 'stage_animations.py']"
468303c30912618ceb84cafc9462c37da55b73fe,tuplify bug fix,['75c88375d9b09be6b3021b3b87ba424c51c74fe2'],False,['helpers.py']
9d94337d9909cceef51d626cab62c9d5b3552b15,fixed tiny config error for Square,['6bb3a2c18194ef1a1e728c869b22794cebe7f3f8'],False,['geometry.py']
803301e4a181e98099967d701f2ddf034fa017f2,Fixes to multilayered scnes,['9a73fe0d4e953d9ad9f602dd0fe1eab1b284b40d'],False,"['curves.py', 'multilayered.py', 'constants.py']"
a9f620e2508cf9de4f5a405449673d4d50804d80,"Better interpolation, bezier subpaths, and color bugfix",['c685211484b50a900b2d97bca6f1ecf631ab1ab4'],False,"['camera.py', 'helpers.py', 'image_mobject.py', 'mobject.py', 'point_cloud_mobject.py', 'tex_mobject.py', 'vectorized_mobject.py']"
74421070bbb898cdf16c6975a5548b8762546ba5,fixed triangle of power mistake,['a4efcdbff2b68a36426f761a9baa5a5cef8e71bd'],False,"['__init__.py', 'end.py', 'triangle.py']"
